Біграми з пробілами та з перетинами:
Біграма: *я *, її частота: 0.013370;
Біграма: * и*, її частота: 0.008623;
Біграма: *из*, її частота: 0.002015;
Біграма: *з *, її частота: 0.001589;
Біграма: * ч*, її частота: 0.005450;
Біграма: *чи*, її частота: 0.001788;
Біграма: *ис*, її частота: 0.002865;
Біграма: *сл*, її частота: 0.003081;
Біграма: *ла*, її частота: 0.005775;
Біграма: *а *, її частота: 0.016248;
Біграма: * т*, її частота: 0.007279;
Біграма: *те*, її частота: 0.005015;
Біграма: *ех*, її частота: 0.000584;
Біграма: *х *, її частота: 0.002824;
Біграма: * с*, її частота: 0.013999;
Біграма: *са*, її частота: 0.001325;
Біграма: *ам*, її частота: 0.002818;
Біграма: *мы*, її частота: 0.000843;
Біграма: *ых*, її частота: 0.000872;
Біграма: *ав*, її частота: 0.003054;
Біграма: *вн*, її частота: 0.001001;
Біграма: *ны*, її частота: 0.003046;
Біграма: * м*, її частота: 0.008238;
Біграма: *ма*, її частота: 0.003084;
Біграма: *ал*, її частота: 0.008857;
Біграма: *лы*, її частота: 0.000846;
Біграма: * к*, її частота: 0.008789;
Біграма: *ко*, її частота: 0.008077;
Біграма: *от*, її частота: 0.006963;
Біграма: *то*, її частота: 0.013791;
Біграма: *ор*, її частота: 0.005480;
Біграма: *ры*, її частота: 0.001526;
Біграма: *ые*, її частота: 0.001058;
Біграма: *е *, її частота: 0.017554;
Біграма: *мо*, її частота: 0.004204;
Біграма: *ог*, її частота: 0.004758;
Біграма: *гу*, її частота: 0.000654;
Біграма: *ут*, її частота: 0.001560;
Біграма: *т *, її частота: 0.005589;
Біграма: * д*, її частота: 0.008609;
Біграма: *до*, її частота: 0.003663;
Біграма: *ос*, її частота: 0.006011;
Біграма: *ст*, її частота: 0.009631;
Біграма: *та*, її частота: 0.005715;
Біграма: *ат*, її частота: 0.004416;
Біграма: *ть*, її частота: 0.005624;
Біграма: *ь *, її частота: 0.009955;
Біграма: * в*, її частота: 0.014306;
Біграма: *вс*, її частота: 0.001994;
Біграма: *се*, її частота: 0.003503;
Біграма: * а*, її частота: 0.002007;
Біграма: *аб*, її частота: 0.000972;
Біграма: *бс*, її частота: 0.000167;
Біграма: *со*, її частота: 0.002680;
Біграма: *ол*, її частота: 0.005964;
Біграма: *лю*, її частота: 0.001090;
Біграма: *ют*, її частота: 0.000422;
Біграма: *тн*, її частота: 0.001058;
Біграма: *но*, її частота: 0.009362;
Біграма: *о *, її частота: 0.019370;
Біграма: * х*, її частота: 0.001612;
Біграма: *хо*, її частота: 0.002046;
Біграма: *че*, її частота: 0.003357;
Біграма: *ер*, її частота: 0.006404;
Біграма: *рт*, її частота: 0.001069;
Біграма: * п*, її частота: 0.016844;
Біграма: *пр*, її частота: 0.006189;
Біграма: *ре*, її частота: 0.005725;
Біграма: *еи*, її частота: 0.000051;
Біграма: *сп*, її частота: 0.001452;
Біграма: *по*, її частота: 0.009571;
Біграма: *од*, її частота: 0.004958;
Біграма: *дн*, її частота: 0.001782;
Біграма: *не*, її частота: 0.009000;
Біграма: *ей*, її частота: 0.002249;
Біграма: *й *, її частота: 0.007306;
Біграма: *ак*, її частота: 0.004165;
Біграма: *ки*, її частота: 0.002665;
Біграма: *ие*, її частота: 0.001683;
Біграма: * р*, її частота: 0.004312;
Біграма: *еб*, її частота: 0.001050;
Біграма: *бя*, її частота: 0.000365;
Біграма: *ят*, її частота: 0.001711;
Біграма: *во*, її частота: 0.005337;
Біграма: *дя*, її частота: 0.000255;
Біграма: *тс*, її частота: 0.001215;
Біграма: *ся*, її частота: 0.004575;
Біграма: *в *, її частота: 0.006250;
Біграма: * л*, її частота: 0.002729;
Біграма: *юб*, її частота: 0.000273;
Біграма: *бо*, її частота: 0.002519;
Біграма: *ой*, її частота: 0.003941;
Біграма: * ф*, її частота: 0.000857;
Біграма: *фе*, її частота: 0.000208;
Біграма: *ед*, її частота: 0.002548;
Біграма: *де*, її частота: 0.005332;
Біграма: *ра*, її частота: 0.006979;
Біграма: *ль*, її частота: 0.004212;
Біграма: *ьн*, її частота: 0.001344;
Біграма: *тю*, її частота: 0.000161;
Біграма: *юр*, її частота: 0.000176;
Біграма: *рь*, її частота: 0.000529;
Біграма: *ьм*, її частота: 0.000329;
Біграма: *ме*, її частота: 0.004221;
Біграма: *ри*, її частота: 0.004798;
Біграма: *ик*, її частота: 0.001964;
Біграма: *и *, її частота: 0.017944;
Біграма: *ти*, її частота: 0.003595;
Біграма: *ит*, її частота: 0.003974;
Біграма: *им*, її частота: 0.002347;
Біграма: *мп*, її частота: 0.000249;
Біграма: *си*, її частота: 0.001493;
Біграма: *иг*, її частота: 0.000596;
Біграма: *га*, її частота: 0.001412;
Біграма: *ар*, її частота: 0.002743;
Біграма: *ет*, її частота: 0.005169;
Біграма: *ты*, її частота: 0.001733;
Біграма: *ы *, її частота: 0.004936;
Біграма: * б*, її частота: 0.005241;
Біграма: *бу*, її частота: 0.001114;
Біграма: *ыл*, її частота: 0.001047;
Біграма: *ло*, її частота: 0.005300;
Біграма: *оч*, її частота: 0.001884;
Біграма: *чк*, її частота: 0.000496;
Біграма: *ку*, її частота: 0.002097;
Біграма: *у *, її частота: 0.006321;
Біграма: *бр*, її частота: 0.001080;
Біграма: *ен*, її частота: 0.007503;
Біграма: *нд*, її частота: 0.000820;
Біграма: *ди*, її частота: 0.002920;
Біграма: *чт*, її частота: 0.003388;
Біграма: *об*, її частота: 0.003573;
Біграма: *бы*, її частота: 0.002399;
Біграма: * о*, її частота: 0.010296;
Біграма: *тм*, її частота: 0.000076;
Біграма: *вы*, її частота: 0.002640;
Біграма: *ып*, її частота: 0.000187;
Біграма: *пу*, її частота: 0.000790;
Біграма: *ус*, її частота: 0.001334;
Біграма: *ск*, її частота: 0.002860;
Біграма: *кн*, її частота: 0.000397;
Біграма: * э*, її частота: 0.003540;
Біграма: *эк*, її частота: 0.000069;
Біграма: *кз*, її частота: 0.000015;
Біграма: *за*, її частота: 0.004715;
Біграма: *сы*, її частота: 0.000344;
Біграма: *ын*, її частота: 0.000128;
Біграма: *на*, її частота: 0.010131;
Біграма: *ил*, її частота: 0.005756;
Біграма: *ли*, її частота: 0.007101;
Біграма: *нь*, її частота: 0.001252;
Біграма: *ва*, її частота: 0.005539;
Біграма: *аш*, її частота: 0.000700;
Біграма: *ше*, її частота: 0.002121;
Біграма: *ег*, її частота: 0.002582;
Біграма: *го*, її частота: 0.007001;
Біграма: *ро*, її частота: 0.007011;
Біграма: *ож*, її частота: 0.002041;
Біграма: *жд*, її частота: 0.000684;
Біграма: *ни*, її частота: 0.006798;
Біграма: *ия*, її частота: 0.000983;
Біграма: *ес*, її частота: 0.004345;
Біграма: *тв*, її частота: 0.001906;
Біграма: *же*, її частота: 0.003021;
Біграма: *пи*, її частота: 0.001084;
Біграма: *бе*, її частота: 0.001774;
Біграма: *ез*, її частота: 0.001138;
Біграма: *ич*, її частота: 0.001054;
Біграма: *ин*, її частота: 0.003863;
Біграма: *н *, її частота: 0.003220;
Біграма: * я*, її частота: 0.004644;
Біграма: *оп*, її частота: 0.001224;
Біграма: *па*, її частота: 0.001586;
Біграма: *л *, її частота: 0.007962;
Біграма: * ш*, її частота: 0.001209;
Біграма: *шо*, її частота: 0.000381;
Біграма: *оу*, її частота: 0.000259;
Біграма: *уш*, її частота: 0.000580;
Біграма: *нк*, її частота: 0.000559;
Біграма: *кс*, її частота: 0.000259;
Біграма: *ую*, її частота: 0.001188;
Біграма: *ю *, її частота: 0.002802;
Біграма: *му*, її частота: 0.001860;
Біграма: *гд*, її частота: 0.001300;
Біграма: *да*, її частота: 0.004441;
Біграма: *мн*, її частота: 0.001810;
Біграма: *ьк*, її частота: 0.001013;
Біграма: *лн*, її частота: 0.000359;
Біграма: *сь*, її частота: 0.002886;
Біграма: *дв*, її частота: 0.001131;
Біграма: *ад*, її частота: 0.001943;
Біграма: *дц*, її частота: 0.000369;
Біграма: *ца*, її частота: 0.000639;
Біграма: * н*, її частота: 0.015079;
Біграма: *ем*, її частота: 0.003323;
Біграма: *ги*, її частота: 0.000597;
Біграма: *их*, її частота: 0.001281;
Біграма: *юд*, її частота: 0.000362;
Біграма: *ле*, її частота: 0.004252;
Біграма: *мь*, її частота: 0.000185;
Біграма: *ье*, її частота: 0.000323;
Біграма: *кт*, її частота: 0.000634;
Біграма: *жа*, її частота: 0.001152;
Біграма: *ее*, її частота: 0.001252;
Біграма: *ея*, її частота: 0.000229;
