Біграми без пробілів та без перетинів:
Біграма: *яи*, її частота: 0.000813;
Біграма: *зч*, її частота: 0.000060;
Біграма: *ис*, її частота: 0.005245;
Біграма: *ла*, її частота: 0.006963;
Біграма: *те*, її частота: 0.006124;
Біграма: *хс*, її частота: 0.000347;
Біграма: *ам*, її частота: 0.004427;
Біграма: *ых*, її частота: 0.001137;
Біграма: *сл*, її частота: 0.003755;
Біграма: *ав*, її частота: 0.005170;
Біграма: *ны*, її частота: 0.003643;
Біграма: *хм*, її частота: 0.000191;
Біграма: *ал*, її частота: 0.011022;
Біграма: *ко*, її частота: 0.010020;
Біграма: *то*, її частота: 0.016682;
Біграма: *ры*, її частота: 0.001809;
Біграма: *ем*, її частота: 0.005125;
Біграма: *ог*, її частота: 0.006197;
Біграма: *ут*, її частота: 0.002186;
Біграма: *до*, її частота: 0.004519;
Біграма: *ст*, її частота: 0.011688;
Біграма: *ат*, її частота: 0.006178;
Біграма: *ьв*, її частота: 0.001357;
Біграма: *се*, її частота: 0.004241;
Біграма: *аб*, її частота: 0.001732;
Біграма: *со*, її частота: 0.003493;
Біграма: *лю*, її частота: 0.001310;
Біграма: *тн*, її частота: 0.001890;
Біграма: *ов*, її частота: 0.009438;
Біграма: *хо*, її частота: 0.002592;
Біграма: *ть*, її частота: 0.006739;
Біграма: *че*, її частота: 0.003999;
Біграма: *рт*, її частота: 0.001413;
Біграма: *аи*, її частота: 0.001242;
Біграма: *зп*, її частота: 0.000205;
Біграма: *ре*, її частота: 0.006942;
Біграма: *по*, її частота: 0.011187;
Біграма: *дн*, її частота: 0.002299;
Біграма: *ей*, її частота: 0.002761;
Біграма: *та*, її частота: 0.006888;
Біграма: *ки*, її частота: 0.003596;
Біграма: *ер*, її частота: 0.008141;
Біграма: *еб*, її частота: 0.001986;
Біграма: *ят*, її частота: 0.002708;
Біграма: *од*, її частота: 0.006931;
Біграма: *ся*, її частота: 0.005373;
Біграма: *вл*, її частота: 0.000927;
Біграма: *юб*, її частота: 0.000415;
Біграма: *ой*, її частота: 0.004694;
Біграма: *фе*, її частота: 0.000233;
Біграма: *де*, її частота: 0.006430;
Біграма: *ра*, її частота: 0.008415;
Біграма: *ль*, її частота: 0.005082;
Біграма: *но*, її частота: 0.011611;
Біграма: *йт*, її частота: 0.000739;
Біграма: *юр*, її частота: 0.000298;
Біграма: *ьм*, її частота: 0.000948;
Біграма: *еа*, її частота: 0.000383;
Біграма: *ме*, її частота: 0.005215;
Біграма: *ри*, її частота: 0.005987;
Біграма: *ти*, її частота: 0.004697;
Біграма: *им*, її частота: 0.003675;
Біграма: *ес*, її частота: 0.006955;
Біграма: *иг*, її частота: 0.001147;
Біграма: *ар*, її частота: 0.003695;
Біграма: *ет*, її частота: 0.007062;
Біграма: *от*, її частота: 0.009387;
Біграма: *ит*, її частота: 0.005666;
Біграма: *ыл*, її частота: 0.001237;
Біграма: *оч*, її частота: 0.002990;
Біграма: *ку*, її частота: 0.002710;
Біграма: *бр*, її частота: 0.001299;
Біграма: *ен*, її частота: 0.010750;
Біграма: *ди*, її частота: 0.003622;
Біграма: *чт*, її частота: 0.004050;
Біграма: *об*, її частота: 0.004947;
Біграма: *ыо*, її частота: 0.000364;
Біграма: *тм*, її частота: 0.000405;
Біграма: *ып*, її частота: 0.000923;
Біграма: *ус*, її частота: 0.002115;
Біграма: *кн*, її частота: 0.000886;
Біграма: *ые*, її частота: 0.001366;
Біграма: *эк*, її частота: 0.000083;
Біграма: *за*, її частота: 0.005666;
Біграма: *сы*, її частота: 0.000426;
Біграма: *на*, її частота: 0.012088;
Біграма: *ил*, її частота: 0.007075;
Біграма: *ид*, її частота: 0.002896;
Біграма: *аш*, її частота: 0.001006;
Біграма: *ег*, її частота: 0.003530;
Біграма: *ор*, її частота: 0.007143;
Біграма: *ож*, її частота: 0.002676;
Біграма: *ни*, її частота: 0.008419;
Біграма: *ли*, її частота: 0.008774;
Біграма: *ро*, її частота: 0.008603;
Біграма: *жд*, її частота: 0.000869;
Біграма: *тв*, її частота: 0.002960;
Біграма: *оа*, її частота: 0.000246;
Біграма: *мо*, її частота: 0.005651;
Біграма: *же*, її частота: 0.003630;
Біграма: *пр*, її частота: 0.007173;
Біграма: *ос*, її частота: 0.009175;
Біграма: *вы*, її частота: 0.003155;
Біграма: *пи*, її частота: 0.001340;
Біграма: *бе*, її частота: 0.002183;
Біграма: *зо*, її частота: 0.000809;
