Біграми без пробілів та з перетинами:
Біграма: *яи*, її частота: 0.000824;
Біграма: *из*, її частота: 0.002992;
Біграма: *зч*, її частота: 0.000056;
Біграма: *чи*, її частота: 0.002150;
Біграма: *ис*, її частота: 0.005248;
Біграма: *сл*, її частота: 0.003746;
Біграма: *ла*, її частота: 0.006978;
Біграма: *ат*, її частота: 0.006195;
Біграма: *те*, її частота: 0.006130;
Біграма: *ех*, її частота: 0.000989;
Біграма: *хс*, її частота: 0.000362;
Біграма: *са*, її частота: 0.001630;
Біграма: *ам*, її частота: 0.004495;
Біграма: *мы*, її частота: 0.001006;
Біграма: *ых*, її частота: 0.001133;
Біграма: *ав*, її частота: 0.005152;
Біграма: *вн*, її частота: 0.001663;
Біграма: *ны*, її частота: 0.003635;
Біграма: *хм*, її частота: 0.000179;
Біграма: *ма*, її частота: 0.003804;
Біграма: *ал*, її частота: 0.010898;
Біграма: *лы*, її частота: 0.001009;
Біграма: *хк*, її частота: 0.000245;
Біграма: *ко*, її частота: 0.009984;
Біграма: *от*, її частота: 0.009516;
Біграма: *то*, її частота: 0.016853;
Біграма: *ор*, її частота: 0.007116;
Біграма: *ры*, її частота: 0.001821;
Біграма: *ые*, її частота: 0.001386;
Біграма: *ем*, її частота: 0.005216;
Біграма: *мо*, її частота: 0.005611;
Біграма: *ог*, її частота: 0.006133;
Біграма: *гу*, її частота: 0.000818;
Біграма: *ут*, її частота: 0.002172;
Біграма: *тд*, її частота: 0.000509;
Біграма: *до*, її частота: 0.004437;
Біграма: *ос*, її частота: 0.009153;
Біграма: *ст*, її частота: 0.011734;
Біграма: *та*, її частота: 0.006911;
Біграма: *ть*, її частота: 0.006711;
Біграма: *ьв*, її частота: 0.001343;
Біграма: *вс*, її частота: 0.003071;
Біграма: *се*, її частота: 0.004250;
Біграма: *еа*, її частота: 0.000352;
Біграма: *аб*, її частота: 0.001718;
Біграма: *бс*, її частота: 0.000217;
Біграма: *со*, її частота: 0.003383;
Біграма: *ол*, її частота: 0.007537;
Біграма: *лю*, її частота: 0.001306;
Біграма: *ют*, її частота: 0.000661;
Біграма: *тн*, її частота: 0.001904;
Біграма: *но*, її частота: 0.011416;
Біграма: *ов*, її частота: 0.009602;
Біграма: *хо*, її частота: 0.002633;
Біграма: *ьч*, її частота: 0.000596;
Біграма: *че*, її частота: 0.004008;
Біграма: *ер*, її частота: 0.008207;
Біграма: *рт*, її частота: 0.001331;
Біграма: *аи*, її частота: 0.001266;
Біграма: *зп*, її частота: 0.000217;
Біграма: *пр*, її частота: 0.007388;
Біграма: *ре*, її частота: 0.006852;
Біграма: *еи*, її частота: 0.001067;
